---------Head Start---------
Separator: Comma
Linear Units: Meters
Angular Units: Dec. degrees
Output order: Pnt Id, Time1, Time2, Hz, V, Sd, H.dist, V.dist, East, North, Elev
Code before measurement
List file = None
Join codes: No.
Allow partial blocks?  Yes
---------Head End-----------
111,5, 11, 7, 16,358.76930,267.77090,1952.6720,5041.9090,3049.2340,926.0090
REF,5, 11, 7, 30,201.53140,265.66060,23.0150,5008.4230,5021.3480,999.9590
REF,5, 11, 7, 30,21.53000,94.33190,23.0150,5008.4220,5021.3480,999.9620
111,5, 11, 7, 31,178.76460,92.22250,1952.5220,5042.0660,3049.3790,926.2410
111,5, 11, 7, 31,358.76950,267.77050,1952.5170,5041.8970,3049.3890,926.0020
REF,5, 11, 7, 45,201.52980,265.66360,23.0150,5008.4220,5021.3480,999.9600
REF,5, 11, 7, 45,21.53030,94.33670,23.0150,5008.4220,5021.3480,999.9600
111,5, 11, 7, 46,178.76470,92.22420,1952.3700,5042.0600,3049.5330,926.1870
111,5, 11, 7, 46,358.76690,267.77310,1952.3660,5041.9830,3049.5390,926.0950
REF,5, 11, 8, 0,201.53050,265.66080,23.0160,5008.4220,5021.3480,999.9590
REF,5, 11, 8, 0,21.52880,94.33390,23.0150,5008.4220,5021.3480,999.9610
111,5, 11, 8, 1,178.76520,92.21910,1952.2170,5042.0390,3049.6790,926.3690
111,5, 11, 8, 1,358.76720,267.77220,1952.2140,5041.9700,3049.6910,926.0730
REF,5, 11, 8, 15,201.53120,265.66180,23.0150,5008.4230,5021.3480,999.9590
REF,5, 11, 8, 15,21.53270,94.33310,23.0150,5008.4230,5021.3480,999.9610
111,5, 11, 8, 16,178.76420,92.22000,1952.0600,5042.0700,3049.8380,926.3440
111,5, 11, 8, 16,358.76560,267.77580,1952.0540,5042.0220,3049.8470,926.2000
REF,5, 11, 8, 30,201.53020,265.66320,23.0150,5008.4220,5021.3480,999.9600
REF,5, 11, 8, 30,21.53010,94.33600,23.0150,5008.4220,5021.3480,999.9600
111,5, 11, 8, 31,178.76250,92.21980,1951.9090,5042.1220,3049.9890,926.3570
111,5, 11, 8, 31,358.76700,267.77930,1951.9050,5041.9700,3049.9910,926.3240
REF,5, 11, 8, 45,201.53040,265.66240,23.0150,5008.4220,5021.3480,999.9590
REF,5, 11, 8, 45,21.53240,94.33360,23.0150,5008.4230,5021.3480,999.9610
111,5, 11, 8, 46,178.76130,92.21680,1951.7470,5042.1610,3050.1480,926.4640
111,5, 11, 8, 46,358.76570,267.77620,1951.7470,5042.0110,3050.1540,926.2240
REF,5, 11, 9, 0,201.53200,265.66270,23.0150,5008.4230,5021.3480,999.9590
REF,5, 11, 9, 0,21.53100,94.33580,23.0150,5008.4230,5021.3480,999.9600
111,5, 11, 9, 1,178.76160,92.21760,1951.5980,5042.1490,3050.2980,926.4440
111,5, 11, 9, 1,358.76570,267.78000,1951.5910,5042.0080,3050.3050,926.3620
REF,5, 11, 9, 15,201.53090,265.66250,23.0150,5008.4230,5021.3480,999.9590
REF,5, 11, 9, 15,21.53320,94.33460,23.0150,5008.4230,5021.3480,999.9610
111,5, 11, 9, 16,178.76160,92.21420,1951.4410,5042.1440,3050.4500,926.5660
111,5, 11, 9, 16,358.76380,267.77870,1951.4370,5042.0680,3050.4620,926.3220
REF,5, 11, 9, 30,201.52990,265.66280,23.0150,5008.4220,5021.3480,999.9590
REF,5, 11, 9, 30,21.53360,94.33460,23.0150,5008.4240,5021.3480,999.9610
111,5, 11, 9, 31,178.76040,92.21070,1951.2870,5042.1820,3050.6000,926.6900
111,5, 11, 9, 31,358.76310,267.77820,1951.2840,5042.0880,3050.6160,926.3120
