id,date,x_NAD27,y_NAD27,z1,lat_WGS84,lng_WGS84,z2
ICE_0237,2004-07-24 03:00:17,502152.145,6782050.279,338.942,61.17424534,-146.9621439,343.096
ICE_0238,2004-07-24 06:00:17,502151.747,6782050.01,338.891,61.17424292,-146.9621513,343.045
ICE_0239,2004-07-24 09:00:17,502151.383,6782049.768,338.883,61.17424075,-146.962158,343.037
ICE_0240,2004-07-24 12:00:17,502151.038,6782049.529,338.88,61.17423861,-146.9621645,343.034
ICE_0241,2004-07-24 15:00:17,502150.665,6782049.275,338.869,61.17423633,-146.9621714,343.024
ICE_0242,2004-07-24 18:00:17,502150.263,6782049.02,338.864,61.17423404,-146.9621789,343.018
ICE_0243,2004-07-24 21:00:17,502149.832,6782048.729,338.843,61.17423143,-146.9621869,342.997
ICE_0244,2004-07-25 00:00:17,502149.416,6782048.453,338.824,61.17422896,-146.9621946,342.978
ICE_0245,2004-07-25 03:00:17,502148.999,6782048.181,338.849,61.17422652,-146.9622024,343.003
ICE_0248,2004-07-25 12:00:17,502147.838,6782047.416,338.748,61.17421965,-146.962224,342.903
ICE_0249,2004-07-25 15:00:17,502147.45,6782047.157,338.751,61.17421733,-146.9622312,342.906
ICE_0250,2004-07-25 18:00:17,502147.099,6782046.922,338.736,61.17421522,-146.9622377,342.891
ICE_0251,2004-07-25 21:00:17,502146.774,6782046.685,338.705,61.1742131,-146.9622438,342.859
ICE_0252,2004-07-26 00:00:17,502146.459,6782046.467,338.681,61.17421114,-146.9622496,342.836
ICE_0253,2004-07-26 03:00:17,502146.159,6782046.247,338.678,61.17420917,-146.9622552,342.833
ICE_0254,2004-07-26 06:00:17,502145.867,6782046.03,338.61,61.17420722,-146.9622606,342.764
ICE_0255,2004-07-26 09:00:17,502145.591,6782045.822,338.584,61.17420536,-146.9622658,342.739
ICE_0256,2004-07-26 12:00:17,502145.307,6782045.619,338.576,61.17420353,-146.962271,342.73
ICE_0257,2004-07-26 15:00:17,502145,6782045.4,338.566,61.17420157,-146.9622768,342.721
ICE_0258,2004-07-26 18:00:17,502144.684,6782045.188,338.555,61.17419966,-146.9622826,342.71
ICE_0259,2004-07-26 21:00:17,502144.31,6782044.924,338.526,61.17419729,-146.9622896,342.681
ICE_0260,2004-07-27 00:00:17,502143.887,6782044.67,338.559,61.17419502,-146.9622975,342.713
ICE_0262,2004-07-27 09:00:17,502142.678,6782043.805,338.466,61.17418726,-146.9623199,342.621
ICE_0263,2004-07-27 12:00:17,502142.236,6782043.513,338.442,61.17418464,-146.9623282,342.596
ICE_0264,2004-07-27 15:00:17,502141.77,6782043.207,338.433,61.1741819,-146.9623368,342.588
ICE_0265,2004-07-27 18:00:17,502141.291,6782042.901,338.434,61.17417915,-146.9623457,342.589
ICE_0266,2004-07-27 21:00:17,502140.778,6782042.548,338.4,61.17417598,-146.9623553,342.555
ICE_0267,2004-07-28 00:00:17,502140.239,6782042.194,338.388,61.17417281,-146.9623653,342.542
ICE_0268,2004-07-28 03:00:17,502139.702,6782041.854,338.405,61.17416976,-146.9623753,342.56
ICE_0269,2004-07-28 06:00:17,502139.222,6782041.512,338.347,61.17416669,-146.9623842,342.501
ICE_0270,2004-07-28 09:00:17,502138.843,6782041.221,338.335,61.17416408,-146.9623913,342.489
ICE_0271,2004-07-28 12:00:17,502138.34,6782040.882,338.334,61.17416104,-146.9624006,342.489
