marker	month	day	hour	min	Hz	V	Sd	East	North	Elev
R1	9	15	0	20	359.98944	87.25306	131.906	4999.976	5131.754	1007.943
555	9	15	0	21	110.05	267.44083	1655.699	3446.18	5567.078	927.876
R1	9	15	0	21	179.99	272.76083	131.906	4999.977	5131.753	1007.974
555	9	15	0	30	290.04583	92.57528	1655.687	3446.172	5566.959	927.412
R1	9	15	0	30	359.99083	87.25306	131.906	4999.979	5131.754	1007.943
555	9	15	0	31	110.0475	267.43694	1655.687	3446.173	5567.005	927.765
R1	9	15	0	31	179.99139	272.75944	131.906	4999.98	5131.753	1007.972
555	9	15	0	40	290.04389	92.57528	1655.681	3446.156	5566.899	927.413
R1	9	15	0	40	359.98889	87.25194	131.906	4999.974	5131.754	1007.945
555	9	15	0	41	110.04472	267.43722	1655.677	3446.153	5566.928	927.777
R1	9	15	0	41	179.99167	272.7575	131.906	4999.981	5131.753	1007.967
555	9	15	0	50	290.04417	92.575	1655.667	3446.171	5566.901	927.419
R1	9	15	0	50	359.99056	87.25333	131.906	4999.978	5131.754	1007.942
555	9	15	0	51	110.045	267.4375	1655.667	3446.165	5566.932	927.781
R1	9	15	0	51	179.9925	272.75944	131.906	4999.983	5131.753	1007.972
555	9	15	1	0	290.03611	92.575	1655.658	3446.102	5566.684	927.424
R1	9	15	1	0	359.98639	87.25361	131.906	4999.969	5131.754	1007.942
555	9	15	1	1	110.03972	267.43917	1655.657	3446.121	5566.787	927.834
R1	9	15	1	1	179.9875	272.76139	131.906	4999.971	5131.752	1007.976
555	9	15	1	10	290.035	92.57639	1655.644	3446.105	5566.647	927.384
R1	9	15	1	10	359.98861	87.25361	131.906	4999.974	5131.754	1007.941
555	9	15	1	11	110.03861	267.43806	1655.644	3446.124	5566.753	927.802
R1	9	15	1	11	179.99	272.76083	131.906	4999.977	5131.752	1007.975
555	9	15	1	20	290.03389	92.57611	1655.634	3446.103	5566.612	927.388
R1	9	15	1	20	359.98778	87.2525	131.906	4999.972	5131.754	1007.944
555	9	15	1	21	110.03583	267.4375	1655.633	3446.108	5566.674	927.789
R1	9	15	1	21	179.99	272.76028	131.905	4999.977	5131.752	1007.974
555	9	15	1	30	290.03083	92.57667	1655.622	3446.083	5566.523	927.38
R1	9	15	1	30	359.98833	87.25389	131.905	4999.974	5131.754	1007.941
555	9	15	1	31	110.03417	267.43667	1655.621	3446.102	5566.62	927.761
R1	9	15	1	31	179.99	272.76056	131.905	4999.977	5131.752	1007.974
555	9	15	1	40	290.03056	92.57556	1655.609	3446.093	5566.515	927.409
R1	9	15	1	40	359.98972	87.25278	131.905	4999.976	5131.754	1007.943
555	9	15	1	41	110.03306	267.43833	1655.612	3446.097	5566.588	927.813
R1	9	15	1	41	179.99056	272.76083	131.906	4999.978	5131.752	1007.975
555	9	15	1	50	290.0275	92.57472	1655.601	3446.069	5566.427	927.43
R1	9	15	1	50	359.98806	87.25333	131.905	4999.972	5131.754	1007.942
555	9	15	1	51	110.02917	267.43778	1655.6	3446.071	5566.48	927.796
R1	9	15	1	51	179.99111	272.76111	131.905	4999.98	5131.752	1007.975
555	9	15	2	0	290.025	92.57472	1655.592	3446.054	5566.361	927.433
R1	9	15	2	0	359.9875	87.25278	131.906	4999.972	5131.754	1007.943
555	9	15	2	1	110.02806	267.4375	1655.59	3446.071	5566.446	927.791
R1	9	15	2	1	179.99	272.75972	131.906	4999.977	5131.753	1007.972
555	9	15	2	10	290.02111	92.57417	1655.579	3446.025	5566.247	927.453
R1	9	15	2	10	359.98722	87.25222	131.906	4999.971	5131.754	1007.945
555	9	15	2	11	110.02389	267.43806	1655.582	3446.037	5566.331	927.801
R1	9	15	2	11	179.99	272.76028	131.906	4999.977	5131.753	1007.973
