marker,t,x,y,z_G,z_Q
11,1984-08-15T03:00:28Z,497616.140538844,6765234.2157019,104.527498795744,NA
11,1984-08-15T05:33:07Z,497615.955936539,6765233.19666105,104.483605501915,NA
11,1984-08-15T16:48:28Z,497615.131923798,6765228.64794943,104.273228413003,105.127518921621
11,1984-08-16T17:44:38Z,497613.426144252,6765218.71706984,103.763877388115,104.753350871471
11,1984-08-17T16:48:28Z,497612.019504249,6765209.9119949,103.312265841436,104.412880436831
11,1984-08-18T19:58:33Z,497610.101293531,6765198.51347892,102.838485016729,NA
11,1984-08-20T17:14:24Z,497606.137043657,6765174.95685655,102.073845747609,NA
11,1984-08-21T02:04:19Z,497605.412709899,6765170.65267358,101.888072327545,102.570006121872
11,1984-08-21T22:38:24Z,497604.045454844,6765161.82099698,101.525714621723,102.198940273337
11,1984-08-24T00:58:04Z,497601.246556294,6765143.74173169,100.707578836617,NA
11,1984-08-26T05:01:26Z,497598.137215214,6765123.65718727,99.5678999327661,NA
11,1984-08-26T19:42:43Z,497597.263246918,6765118.01185772,99.2574906447699,NA
11,1984-08-28T17:11:31Z,497594.72498589,6765101.61616003,98.4616875374125,NA
11,1984-08-30T18:56:38Z,497591.97761333,6765083.86972283,97.1877972051413,NA
11,1984-08-31T17:25:55Z,497590.75553528,6765075.97580567,96.7598638806398,NA
11,1984-09-01T16:44:09Z,497589.413963428,6765067.3100277,96.364639793382,NA
11,1984-09-02T16:29:45Z,497587.98388665,6765058.07255911,95.9723267193979,NA
11,1984-09-03T17:15:50Z,497586.513836531,6765048.57688586,95.5664697901818,NA
11,1984-09-04T16:29:45Z,497585.186912089,6765040.00572167,95.1897224045905,NA
13,1984-08-12T18:33:36Z,497572.269200584,6772136.59947424,242.026706648653,242.084319136598
13,1984-08-13T02:34:33Z,497572.538377534,6772135.77011941,NA,242.061153441565
13,1984-08-13T05:43:12Z,497572.64316657,6772135.44725635,242.033950138335,242.053072008362
13,1984-08-13T15:03:21Z,497572.944353689,6772134.49180072,NA,242.028141977566
13,1984-08-13T17:47:31Z,497573.031733537,6772134.2146057,242.029989781369,242.017618902968
13,1984-08-13T22:35:31Z,497573.181402825,6772133.72803834,NA,242.000704226627
13,1984-08-14T01:45:36Z,497573.281331377,6772133.40317562,NA,241.990743164115
13,1984-08-14T02:04:19Z,497573.291294522,6772133.37078593,NA,241.989787011317
13,1984-08-14T05:38:52Z,497573.407094748,6772132.99432519,NA,241.978742432436
13,1984-08-14T15:10:33Z,497573.714270212,6772131.99571313,NA,241.943567009191
13,1984-08-14T17:40:19Z,497573.791513195,6772131.74460006,241.990737914908,241.934302177013
13,1984-08-14T23:34:33Z,497573.957613688,6772131.16379909,NA,241.912044726548
13,1984-08-15T02:23:02Z,497574.036980036,6772130.88628004,NA,241.904395605914
13,1984-08-15T04:58:33Z,497574.111547546,6772130.62554101,NA,241.899357308285
13,1984-08-15T17:11:31Z,497574.467911927,6772129.37944733,241.910682135638,241.894148020132
13,1984-08-15T19:15:21Z,497574.53070311,6772129.16748031,NA,241.895329171472
13,1984-08-15T22:05:16Z,497574.618094883,6772128.87246797,NA,241.896241951806
13,1984-08-16T01:35:31Z,497574.726202823,6772128.50752313,NA,241.893929047219
13,1984-08-16T05:00:00Z,497574.830554851,6772128.1552573,NA,241.885914506058
13,1984-08-16T15:42:14Z,497575.163079983,6772127.03273725,NA,241.848817867436
13,1984-08-16T19:29:45Z,497575.285899784,6772126.61812893,241.813868334865,241.835995986307
13,1984-08-16T23:05:45Z,497575.401448653,6772126.22426527,NA,241.824441684379
13,1984-08-17T02:21:36Z,497575.506508395,6772125.8661552,NA,241.816290427784
13,1984-08-17T04:55:40Z,497575.590595183,6772125.57953422,NA,241.811756161099
13,1984-08-17T17:05:45Z,497575.992089455,6772124.21098769,241.740610095168,241.806150491125
13,1984-08-17T20:28:48Z,497576.115647829,6772123.85888862,NA,241.805894362204
13,1984-08-18T21:07:40Z,497577.034172002,6772121.24140917,NA,241.816395650301
13,1984-08-20T17:47:31Z,497579.759392188,6772113.47546457,241.594562706668,241.922355718656
13,1984-08-20T21:59:31Z,497579.985288539,6772112.86785997,NA,241.907601783455
13,1984-08-20T23:34:33Z,497580.064732103,6772112.65417668,241.572480254231,241.901361253835
13,1984-08-21T05:04:19Z,497580.27919807,6772111.95190112,NA,241.872924896029
13,1984-08-21T16:18:14Z,497580.627443618,6772110.81156009,NA,241.848154074638
13,1984-08-21T20:04:19Z,497580.723821535,6772110.49596757,NA,241.829967287635
13,1984-08-21T23:04:19Z,497580.795367791,6772110.2616871,241.464938835461,241.810762155327
13,1984-08-22T02:24:28Z,497580.848328028,6772110.00733543,NA,241.781733135886
13,1984-08-22T04:57:07Z,497580.886908169,6772109.82204692,NA,241.758662753508
13,1984-08-22T16:12:28Z,497581.045122766,6772109.06219106,NA,241.679004896104
13,1984-08-22T19:29:45Z,497581.089528082,6772108.84892603,NA,241.66839349986
13,1984-08-22T22:51:21Z,497581.134758571,6772108.63169795,NA,241.660496109835
13,1984-08-24T00:43:40Z,497581.50278061,6772106.86420173,241.316360881322,241.59356560024
13,1984-08-24T04:54:14Z,497581.610822071,6772106.51712605,NA,241.585591831501
13,1984-08-26T16:38:24Z,497583.247275276,6772101.26013393,NA,241.525419572546
13,1984-08-26T19:42:43Z,497583.31842808,6772101.0315605,241.181625369986,241.521006379152
15,1984-08-11T22:24:00Z,498929.445808327,6764104.11889068,86.0281778533264,87.2352594353066
15,1984-08-12T04:16:48Z,498929.456222798,6764103.9137284,86.0021938836985,NA
15,1984-08-12T15:46:33Z,498929.477148253,6764103.50150259,85.9577800698483,NA
15,1984-08-12T23:18:43Z,498929.491059892,6764103.22744703,85.9404798252468,87.0979228820216
15,1984-08-13T05:36:00Z,498929.50576119,6764103.01251251,85.9314391611299,NA
15,1984-08-13T20:30:14Z,498929.538663719,6764102.53147405,85.8785675068553,86.9910673951584
15,1984-08-14T00:35:02Z,498929.548463705,6764102.40696866,85.8551035706317,NA
15,1984-08-14T04:58:33Z,498929.558874745,6764102.27470005,85.8276125560852,NA
15,1984-08-14T17:33:07Z,498929.589542216,6764101.88508055,85.7556684170075,NA
15,1984-08-14T19:54:14Z,498929.59479514,6764101.818344,85.7461724466286,86.8660268342745
15,1984-08-14T23:51:50Z,498929.603458351,6764101.71031675,85.7339577624507,NA
15,1984-08-15T03:10:33Z,498929.610787125,6764101.61892945,85.7257536326564,NA
15,1984-08-15T05:41:45Z,498929.616558984,6764101.54695635,85.718748512598,NA
15,1984-08-15T16:13:55Z,498929.64169484,6764101.23352087,85.6737330782059,86.7318958590846
15,1984-08-16T17:38:52Z,498929.70686014,6764100.61844364,85.5021242351945,86.535741739023
15,1984-08-17T16:58:33Z,498929.783260406,6764100.10976518,85.3352618835561,86.3402950678607
15,1984-08-18T20:07:12Z,498929.893691758,6764099.38251687,85.1419327510635,NA
15,1984-08-20T17:08:38Z,498930.116020272,6764097.91836712,84.7373731537841,NA
15,1984-08-21T01:24:00Z,498930.15094559,6764097.68836561,84.629472667986,85.5985540544492
15,1984-08-21T22:54:14Z,498930.266507051,6764097.29747905,84.4573142826694,85.4515538012879
15,1984-08-24T00:16:19Z,498930.538268987,6764096.3782445,84.2609645252274,NA
15,1984-08-26T19:35:31Z,498930.958932396,6764094.95535082,83.7549853942095,NA
15,1984-08-28T17:15:50Z,498931.161685047,6764094.26954012,83.7018383290874,NA
15,1984-08-30T19:02:24Z,498931.451308168,6764093.28989013,83.1802333194515,NA
15,1984-08-31T17:33:07Z,498931.499484464,6764093.12693384,83.0563286424181,NA
15,1984-09-01T16:48:28Z,498931.544368677,6764092.97511302,82.9427113929803,NA
15,1984-09-02T16:32:38Z,498931.620108011,6764092.71892478,82.8187917112631,NA
15,1984-09-03T17:17:16Z,498931.683053211,6764092.50601268,82.6871671090426,NA
15,1984-09-04T16:31:12Z,498931.706741919,6764092.42588565,82.5618076191833,NA
17,1984-08-11T23:04:19Z,497054.917665095,6764217.20912302,74.9388319566011,75.7825764434667
17,1984-08-12T04:05:16Z,497054.790190874,6764214.34714933,74.727051556785,NA
17,1984-08-12T15:42:14Z,497054.497637447,6764207.77891767,74.246671798225,NA
17,1984-08-12T23:34:33Z,497054.298219887,6764203.30171585,73.9448843315971,74.7384471677539
17,1984-08-13T05:28:48Z,497054.155062516,6764199.90520727,73.7310595778259,NA
17,1984-08-13T20:38:52Z,497053.782804817,6764191.07313344,73.1126051229431,73.8351896740547
17,1984-08-14T00:30:43Z,497053.713367323,6764188.81761401,72.9411353544904,NA
17,1984-08-14T04:54:14Z,497053.634415426,6764186.25304082,72.7409856686509,NA
17,1984-08-14T17:25:55Z,497053.412242416,6764179.03625488,72.1588214003103,NA
17,1984-08-14T20:12:57Z,497053.363657337,6764177.45807885,72.0318902469548,72.8258181760781
17,1984-08-14T23:47:31Z,497053.326096014,6764175.43757977,71.8731434816835,NA
17,1984-08-15T03:06:14Z,497053.291020274,6764173.55078522,71.7254069000668,NA
17,1984-08-15T05:36:00Z,497053.264350998,6764172.11619117,71.6088068259619,NA
17,1984-08-15T16:42:43Z,497053.145565899,6764165.72650189,71.020319321572,71.9586270109573
17,1984-08-15T20:27:21Z,497053.106424336,6764163.62099858,70.8032181294134,NA
17,1984-08-15T23:17:16Z,497053.077131675,6764162.04528738,70.6351175691194,NA
17,1984-08-16T02:14:24Z,497053.0465622,6764160.40089378,70.4572782748153,NA
17,1984-08-16T05:08:38Z,497053.016123388,6764158.76352894,70.2803107737738,NA
17,1984-08-16T17:34:33Z,497052.88183316,6764151.53978756,69.5067100132586,NA
17,1984-08-16T20:10:04Z,497052.853170641,6764149.99797309,69.3431635918076,NA
17,1984-08-16T23:10:04Z,497052.819812762,6764148.20358571,69.1534117679579,NA
17,1984-08-17T02:15:50Z,497052.785210789,6764146.34227604,68.9574186247256,NA
17,1984-08-17T05:14:24Z,497052.751785161,6764144.54424424,68.7692218854559,NA
17,1984-08-17T16:52:48Z,497052.619909508,6764137.45038768,68.0417768311145,NA
17,1984-08-17T22:09:36Z,497052.559515386,6764134.20166649,67.7194635815194,NA
17,1984-08-17T23:07:12Z,497052.54850778,6764133.60954516,67.661242032017,NA
17,1984-08-18T02:02:52Z,497052.514895223,6764131.80145815,67.4839634531083,NA
19,1984-08-11T23:11:31Z,498147.039949629,6764197.10775228,74.7571906978644,75.6599722661762
19,1984-08-12T04:08:09Z,498146.533997231,6764194.47284195,74.5170050737243,NA
19,1984-08-12T15:43:40Z,498145.349621318,6764188.30482232,73.9599205921796,NA
19,1984-08-12T23:25:55Z,498144.563655704,6764184.21165285,73.6020534504831,74.5453415108418
19,1984-08-13T05:31:40Z,498143.950728667,6764180.97708814,73.324553931645,NA
19,1984-08-13T20:34:33Z,498142.440679509,6764173.00819227,72.606265124084,73.5778260138042
19,1984-08-14T00:32:09Z,498142.053478026,6764170.92813517,72.4105370246536,NA
19,1984-08-14T17:28:48Z,498140.419379082,6764162.14971035,71.5724480126506,NA
19,1984-08-14T20:01:26Z,498140.175967036,6764160.84209409,71.4517814023513,72.513081105663
19,1984-08-14T23:48:57Z,498139.824286675,6764158.89122506,71.2766777925436,NA
19,1984-08-15T03:07:40Z,498139.516071854,6764157.18147149,71.1250109348825,NA
19,1984-08-15T16:21:07Z,498138.292076783,6764150.39162948,70.5129039187976,71.5749440062581
19,1984-08-15T20:27:21Z,498137.943102906,6764148.33059122,70.318876779373,NA
19,1984-08-15T23:20:09Z,498137.699823569,6764146.89378447,70.1809749973736,NA
19,1984-08-16T02:17:16Z,498137.449895519,6764145.41771044,70.0383765852051,NA
19,1984-08-16T05:08:38Z,498137.207382943,6764143.98543219,69.8995145420715,NA
19,1984-08-16T17:36:00Z,498136.142876822,6764137.69846348,69.287362184224,NA
19,1984-08-16T21:19:12Z,498135.822995982,6764135.80924858,69.1035021996325,70.2026816910127
19,1984-08-16T23:11:31Z,498135.67237952,6764134.85550412,69.0117473880358,NA
19,1984-08-17T02:17:16Z,498135.422954399,6764133.27607633,68.8598142915364,NA
19,1984-08-17T05:17:16Z,498135.181152398,6764131.7449202,68.7123105232879,NA
19,1984-08-17T17:24:28Z,498134.202420172,6764125.5473212,68.1116948773096,69.1993397758284
19,1984-08-17T22:12:28Z,498133.821518273,6764123.05937138,67.87173227928,NA
19,1984-08-17T23:08:38Z,498133.746638827,6764122.57027876,67.8246841581923,NA
19,1984-08-18T02:04:19Z,498133.5106161,6764121.02864113,67.6769300919998,NA
19,1984-08-18T20:02:52Z,498131.967057194,6764110.94652522,66.7459934434135,NA
19,1984-08-20T17:04:19Z,498127.394610219,6764081.08051864,64.1114098917803,NA
19,1984-08-20T22:32:38Z,498126.865052321,6764077.62158741,63.7706136558648,NA
19,1984-08-21T01:39:50Z,498126.573795858,6764075.71917772,63.5770752920513,64.2804828532906
