marker,t,x,y
11,1984-08-31T07:15:04Z,497591.337381208,6765079.73419374
11,1984-08-31T07:30:02Z,497591.322544496,6765079.63835716
11,1984-08-31T07:45:01Z,497591.307784648,6765079.54301709
11,1984-08-31T08:00:00Z,497591.293106374,6765079.44820392
11,1984-08-31T08:14:58Z,497591.278511589,6765079.35393006
11,1984-08-31T08:29:57Z,497591.26400221,6765079.26020787
11,1984-08-31T08:45:04Z,497591.249441909,6765079.16615675
11,1984-08-31T09:00:02Z,497591.235109958,6765079.07358063
11,1984-08-31T09:15:01Z,497591.220869177,6765078.98159343
11,1984-08-31T09:44:58Z,497591.192668794,6765078.79943527
11,1984-08-31T09:59:57Z,497591.178713024,6765078.70928907
11,1984-08-31T10:15:04Z,497591.164723336,6765078.61892378
11,1984-08-31T10:30:02Z,497591.150966216,6765078.53006075
11,1984-08-31T10:45:01Z,497591.137300295,6765078.44178679
11,1984-08-31T11:00:00Z,497591.123715997,6765078.35404009
11,1984-08-31T11:14:58Z,497591.110203751,6765078.26675881
11,1984-08-31T11:29:57Z,497591.096753984,6765078.1798811
11,1984-08-31T11:45:04Z,497591.083228535,6765078.09251452
11,1984-08-31T12:00:02Z,497591.06987538,6765078.00626086
11,1984-08-31T12:15:01Z,497591.056555892,6765077.92022468
11,1984-08-31T12:30:00Z,497591.0432605,6765077.83434414
11,1984-08-31T12:44:58Z,497591.029979632,6765077.74855741
11,1984-08-31T12:59:57Z,497591.016704094,6765077.66280511
11,1984-08-31T13:15:04Z,497591.003298515,6765077.57621283
11,1984-08-31T13:30:02Z,497590.990010898,6765077.49038251
11,1984-08-31T13:45:01Z,497590.976706309,6765077.40444257
11,1984-08-31T14:00:00Z,497590.963377468,6765077.31834597
11,1984-08-31T14:14:58Z,497590.950017091,6765077.23204566
11,1984-08-31T14:29:57Z,497590.936617893,6765077.14549459
11,1984-08-31T14:45:04Z,497590.923043062,6765077.05780904
11,1984-08-31T15:00:02Z,497590.909543826,6765076.97061178
11,1984-08-31T15:15:01Z,497590.895983847,6765076.88302217
11,1984-08-31T15:30:00Z,497590.882355844,6765076.79499315
11,1984-08-31T15:44:58Z,497590.868654161,6765076.70648821
11,1984-08-31T15:59:57Z,497590.854879647,6765076.61751281
11,1984-08-31T16:15:04Z,497590.840901321,6765076.52722092
11,1984-08-31T16:30:02Z,497590.826987937,6765076.43734851
11,1984-08-31T16:45:01Z,497590.813009179,6765076.34705382
11,1984-08-31T17:00:00Z,497590.798967524,6765076.25635285
11,1984-08-31T17:14:58Z,497590.784865448,6765076.1652616
11,1984-08-31T17:29:57Z,497590.770705433,6765076.07379609
11,1984-08-31T17:45:04Z,497590.756353002,6765075.9810877
11,1984-08-31T18:00:02Z,497590.742084039,6765075.88891844
11,1984-08-31T18:15:01Z,497590.727766238,6765075.79643373
11,1984-08-31T18:30:00Z,497590.713410322,6765075.70370283
11,1984-08-31T18:44:58Z,497590.699028665,6765075.61080564
11,1984-08-31T18:59:57Z,497590.684633637,6765075.51782208
11,1984-08-31T19:15:04Z,497590.670099221,6765075.42393818
