Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
CGR1	6	24	2	10	175.0902778	359.98833	87.23778	131.869	4999.973	5131.715	1007.976
444	6	24	2	10	175.0902778	285.16917	92.99333	1037.397	4000.106	5271.085	947.519
CGR1	6	24	2	11	175.0909722	179.98889	272.76972	131.869	4999.974	5131.714	1007.993
444	6	24	2	11	175.0909722	105.17333	267.01389	1037.395	4000.122	5271.163	947.65
CGR1	6	24	2	20	175.0972222	359.98611	87.23861	131.869	4999.968	5131.715	1007.974
444	6	24	2	20	175.0972222	285.16389	92.99778	1037.386	4000.097	5270.992	947.44
CGR1	6	24	2	21	175.0979167	179.98556	272.77028	131.868	4999.967	5131.714	1007.995
444	6	24	2	21	175.0979167	105.16778	267.0125	1037.389	4000.103	5271.063	947.629
CGR1	6	24	2	30	175.1041667	359.98722	87.23667	131.869	4999.971	5131.715	1007.979
444	6	24	2	30	175.1041667	285.16167	92.99528	1037.374	4000.095	5270.951	947.487
CGR1	6	24	2	31	175.1048611	179.98694	272.77056	131.869	4999.97	5131.714	1007.995
444	6	24	2	31	175.1048611	105.16139	267.01278	1037.375	4000.086	5270.947	947.632
CGR1	6	24	2	40	175.1111111	359.9875	87.23778	131.869	4999.971	5131.715	1007.976
444	6	24	2	40	175.1111111	285.15694	92.99639	1037.356	4000.091	5270.863	947.469
CGR1	6	24	2	41	175.1118056	179.98778	272.76972	131.869	4999.972	5131.715	1007.993
444	6	24	2	41	175.1118056	105.15833	267.01	1037.361	4000.087	5270.89	947.583
CGR1	6	24	2	50	175.1180556	359.98722	87.23722	131.869	4999.971	5131.715	1007.977
444	6	24	2	50	175.1180556	285.15278	92.99583	1037.35	4000.077	5270.79	947.477
CGR1	6	24	2	51	175.11875	179.98694	272.77	131.868	4999.97	5131.714	1007.994
444	6	24	2	51	175.11875	105.15472	267.01	1037.35	4000.081	5270.825	947.585
CGR1	6	24	3	0	175.125	359.9875	87.23722	131.869	4999.971	5131.715	1007.977
444	6	24	3	0	175.125	285.14833	92.99611	1037.34	4000.066	5270.71	947.473
