Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
CGR1	6	18	6	0	169.25	359.98194	87.23833	131.87	4999.959	5131.716	1007.975
CGR1	6	18	6	1	169.2506944	179.98556	272.77	131.87	4999.967	5131.716	1007.994
444	6	18	6	1	169.2506944	109.17972	267.28806	1050.415	4008.995	5344.711	951.995
CGR1	6	18	6	15	169.2604167	359.98417	87.23861	131.87	4999.964	5131.716	1007.974
444	6	18	6	15	169.2604167	289.17167	92.72222	1050.386	4008.982	5344.56	951.809
CGR1	6	18	6	16	169.2611111	179.98556	272.77167	131.869	4999.967	5131.715	1007.998
444	6	18	6	16	169.2611111	109.17306	267.28667	1050.389	4008.98	5344.586	951.972
CGR1	6	18	6	30	169.2708333	359.98417	87.23944	131.869	4999.963	5131.716	1007.972
444	6	18	6	30	169.2708333	289.16417	92.72139	1050.363	4008.958	5344.424	951.823
CGR1	6	18	6	31	169.2715278	179.98417	272.77167	131.869	4999.964	5131.715	1007.998
444	6	18	6	31	169.2715278	109.165	267.28694	1050.363	4008.957	5344.442	951.975
CGR1	6	18	6	45	169.28125	359.98389	87.23778	131.869	4999.963	5131.716	1007.976
444	6	18	6	45	169.28125	289.155	92.72	1050.341	4008.923	5344.259	951.853
CGR1	6	18	6	46	169.2819444	179.98528	272.77083	131.869	4999.966	5131.715	1007.996
444	6	18	6	46	169.2819444	109.15778	267.28667	1050.337	4008.939	5344.308	951.971
CGR1	6	18	7	0	169.2916667	359.98556	87.2375	131.87	4999.967	5131.716	1007.977
444	6	18	7	0	169.2916667	289.14889	92.72167	1050.316	4008.911	5344.144	951.822
CGR1	6	18	7	1	169.2923611	179.98583	272.7725	131.87	4999.968	5131.715	1008
444	6	18	7	1	169.2923611	109.15028	267.28306	1050.315	4008.917	5344.169	951.911
CGR1	6	18	7	15	169.3020833	359.98417	87.23944	131.87	4999.963	5131.717	1007.972
444	6	18	7	15	169.3020833	289.14083	92.71778	1050.292	4008.882	5344	951.893
CGR1	6	18	7	16	169.3027778	179.985	272.77083	131.871	4999.966	5131.717	1007.996
444	6	18	7	16	169.3027778	109.14222	267.28611	1050.29	4008.889	5344.023	951.966
CGR1	6	18	7	30	169.3125	359.98306	87.23806	131.869	4999.961	5131.716	1007.975
444	6	18	7	30	169.3125	289.13278	92.71917	1050.272	4008.854	5343.853	951.868
