375	9	16	12	1	259.5006944	R1	179	58	47	179.9797222	272	45	35	272.7597222	131.909m	4999.954m	5131.756m	1007.972m
377	9	16	12	10	259.5069444	555	289	33	46	289.5627778	92	36	6	92.60166667	1653.239m	3443.782m	5553.003m	926.759m
379	9	16	12	10	259.5069444	R1	359	58	46	359.9794444	87	15	10	87.25277778	131.908m	4999.953m	5131.757m	1007.944m
381	9	16	12	11	259.5076389	555	109	33	57	109.5658333	267	24	41	267.4113889	1653.240m	3443.794m	5553.091m	927.138m
383	9	16	12	11	259.5076389	R1	179	59	2	179.9838889	272	45	37	272.7602778	131.909m	4999.963m	5131.756m	1007.974m
385	9	16	12	20	259.5138889	555	289	33	30	289.5583333	92	36	5	92.60138889	1653.232m	3443.747m	5552.884m	926.767m
387	9	16	12	20	259.5138889	R1	359	58	52	359.9811111	87	15	19	87.25527778	131.909m	4999.957m	5131.758m	1007.938m
389	9	16	12	21	259.5145833	555	109	33	39	109.5608333	267	24	42	267.4116667	1653.230m	3443.757m	5552.959m	927.151m
391	9	16	12	21	259.5145833	R1	179	58	59	179.9830556	272	45	33	272.7591667	131.909m	4999.961m	5131.756m	1007.971m
393	9	16	12	30	259.5208333	555	289	33	25	289.5569444	92	36	8	92.60222222	1653.220m	3443.745m	5552.839m	926.747m
395	9	16	12	30	259.5208333	R1	359	58	44	359.9788889	87	15	7	87.25194444	131.909m	4999.951m	5131.757m	1007.945m
397					243	555	ERR_8704							0				
399	9	16	12	31	259.5215278	R1	179	59	2	179.9838889	272	45	38	272.7605556	131.909m	4999.963m	5131.756m	1007.974m
401	9	16	12	40	259.5277778	555	289	33	30	289.5583333	92	36	21	92.60583333	1653.208m	3443.773m	5552.871m	926.646m
403	9	16	12	40	259.5277778	R1	359	58	51	359.9808333	87	15	11	87.25305556	131.909m	4999.956m	5131.758m	1007.943m
405	9	16	12	41	259.5284722	555	109	33	28	109.5577778	267	24	41	267.4113889	1653.211m	3443.746m	5552.869m	927.136m
407	9	16	12	41	259.5284722	R1	179	58	58	179.9827778	272	45	32	272.7588889	131.909m	4999.961m	5131.756m	1007.970m
409	9	16	12	50	259.5347222	555	289	33	38	289.5605556	92	36	3	92.60083333	1653.199m	3443.797m	5552.930m	926.791m
411	9	16	12	50	259.5347222	R1	359	59	1	359.9836111	87	15	11	87.25305556	131.909m	4999.963m	5131.757m	1007.943m
413	9	16	12	51	259.5354167	555	109	33	27	109.5575	267	24	47	267.4130556	1653.196m	3443.755m	5552.856m	927.185m
415	9	16	12	51	259.5354167	R1	179	59	2	179.9838889	272	45	35	272.7597222	131.908m	4999.963m	5131.755m	1007.972m
417					243	555	ERR_8704							0				
419	9	16	13	0	259.5416667	R1	359	58	50	359.9805556	87	15	10	87.25277778	131.910m	4999.955m	5131.758m	1007.943m
421	9	16	13	1	259.5423611	555	109	33	17	109.5547222	267	24	50	267.4138889	1653.189m	3443.734m	5552.779m	927.215m
423	9	16	13	1	259.5423611	R1	179	59	1	179.9836111	272	45	37	272.7602778	131.909m	4999.962m	5131.756m	1007.973m
425					243	555	ERR_8704							0				
427	9	16	13	10	259.5486111	R1	359	58	56	359.9822222	87	15	11	87.25305556	131.908m	4999.959m	5131.756m	1007.943m
429					243	555	ERR_8704							0				
431	9	16	13	11	259.5493056	R1	179	59	3	179.9841667	272	45	25	272.7569444	131.908m	4999.964m	5131.756m	1007.966m
433	9	16	13	20	259.5555556	555	289	32	42	289.545	92	36	0	92.6	1653.165m	3443.680m	5552.502m	926.813m
435	9	16	13	20	259.5555556	R1	359	58	48	359.98	87	15	12	87.25333333	131.908m	4999.954m	5131.757m	1007.942m
437	9	16	13	21	259.55625	555	109	32	54	109.5483333	267	24	34	267.4094444	1653.167m	3443.698m	5552.596m	927.089m
439	9	16	13	21	259.55625	R1	179	58	52	179.9811111	272	45	34	272.7594444	131.909m	4999.957m	5131.756m	1007.972m
441	9	16	13	30	259.5625	555	289	32	45	289.5458333	92	36	18	92.605	1653.154m	3443.704m	5552.517m	926.672m
443	9	16	13	30	259.5625	R1	359	58	56	359.9822222	87	15	10	87.25277778	131.909m	4999.959m	5131.757m	1007.943m
445	9	16	13	31	259.5631944	555	109	32	45	109.5458333	267	24	37	267.4102778	1653.153m	3443.685m	5552.521m	927.109m
447	9	16	13	31	259.5631944	R1	179	59	1	179.9836111	272	45	44	272.7622222	131.909m	4999.962m	5131.756m	1007.978m
449					243	555	ERR_8704							0				
451	9	16	13	40	259.5694444	R1	359	59	3	359.9841667	87	15	11	87.25305556	131.909m	4999.964m	5131.757m	1007.943m
453	9	16	13	41	259.5701389	555	109	33	18	109.555	267	24	37	267.4102778	1653.144m	3443.782m	5552.766m	927.109m
455	9	16	13	41	259.5701389	R1	179	59	23	179.9897222	272	45	44	272.7622222	131.909m	4999.976m	5131.755m	1007.978m
457					243	555	ERR_1292							0				
459	9	16	13	51	259.5770833	R1	359	58	56	359.9822222	87	15	5	87.25138889	131.909m	4999.959m	5131.757m	1007.947m
461	9	16	13	51	259.5770833	555	109	32	41	109.5447222	267	24	36	267.41	1653.133m	3443.694m	5552.485m	927.105m
463	9	16	13	51	259.5770833	R1	179	58	58	179.9827778	272	45	43	272.7619444	131.909m	4999.961m	5131.756m	1007.977m
465	9	16	14	0	259.5833333	555	289	32	12	289.5366667	92	36	0	92.6	1653.119m	3443.642m	5552.256m	926.812m
467	9	16	14	0	259.5833333	R1	359	58	47	359.9797222	87	15	5	87.25138889	131.909m	4999.954m	5131.757m	1007.947m
469	9	16	14	1	259.5840278	555	109	32	18	109.5383333	267	24	41	267.4113889	1653.122m	3443.641m	5552.309m	927.147m
471	9	16	14	1	259.5840278	R1	179	58	56	179.9822222	272	45	35	272.7597222	131.909m	4999.959m	5131.756m	1007.972m
473	9	16	14	10	259.5902778	555	289	32	20	289.5388889	92	36	15	92.60416667	1653.110m	3443.678m	5552.316m	926.698m
475	9	16	14	10	259.5902778	R1	359	59	0	359.9833333	87	15	14	87.25388889	131.909m	4999.962m	5131.757m	1007.941m
477	9	16	14	11	259.5909722	555	109	32	25	109.5402778	267	24	38	267.4105556	1653.109m	3443.674m	5552.358m	927.123m
479	9	16	14	11	259.5909722	R1	179	59	18	179.9883333	272	45	41	272.7613889	131.909m	4999.973m	5131.755m	1007.976m
481					243	555	ERR_8704							0				
483	9	16	14	20	259.5972222	R1	359	59	5	359.9847222	87	15	16	87.25444444	131.908m	4999.965m	5131.756m	1007.940m
485	9	16	14	21	259.5979167	555	109	32	13	109.5369444	267	24	43	267.4119444	1653.099m	3443.650m	5552.266m	927.162m
487	9	16	14	21	259.5979167	R1	179	59	13	179.9869444	272	45	35	272.7597222	131.908m	4999.970m	5131.755m	1007.972m
489	9	16	14	30	259.6041667	555	289	32	6	289.535	92	36	17	92.60472222	1653.084m	3443.665m	5552.201m	926.682m
491	9	16	14	30	259.6041667	R1	359	59	12	359.9866667	87	15	10	87.25277778	131.909m	4999.969m	5131.757m	1007.944m
493	9	16	14	31	259.6048611	555	109	32	20	109.5388889	267	24	32	267.4088889	1653.085m	3443.684m	5552.309m	927.076m
495	9	16	14	31	259.6048611	R1	179	59	17	179.9880556	272	45	41	272.7613889	131.909m	4999.973m	5131.755m	1007.976m
497	9	16	14	40	259.6111111	555	289	31	50	289.5305556	92	36	10	92.60277778	1653.075m	3443.628m	5552.077m	926.738m
499	9	16	14	40	259.6111111	R1	359	58	57	359.9825	87	15	9	87.2525	131.909m	4999.960m	5131.757m	1007.944m
501	9	16	14	41	259.6118056	555	109	31	59	109.5330556	267	24	39	267.4108333	1653.074m	3443.636m	5552.149m	927.130m
503	9	16	14	41	259.6118056	R1	179	59	26	179.9905556	272	45	36	272.76	131.908m	4999.978m	5131.755m	1007.973m
